NUMERO_NIVEL;CODIGO_AREA_CONHECIMENTO;CODIGO_GRANDE_AREA;NOME_GRANDE_AREA;CODIGO_AREA;NOME_AREA;CODIGO_SUB_AREA;NOME_SUB_AREA;CODIGO_ESPECIALIDADE;NOME_ESPECIALIDADE
"1";"10000003";"10000003";"Ciências Exatas e da Terra";"";"";"";"";"";""
"2";"10100008";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"";"";"";""
"3";"10101004";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"";""
"4";"10101012";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101012";"Conjuntos"
"4";"10101020";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101020";"Lógica Matemática"
"4";"10101039";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101039";"Teoria dos Números"
"4";"10101047";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101047";"Grupos de Álgebra Não-Comutaviva"
"4";"10101055";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101055";"Álgebra Comutativa"
"4";"10101063";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10101004";"Álgebra";"10101063";"Geometria Algébrica"
"3";"10102000";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"";""
"4";"10102019";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"10102019";"Análise Complexa"
"4";"10102027";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"10102027";"Análise Funcional"
"4";"10102035";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"10102035";"Análise Funcional Não-Linear"
"4";"10102043";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"10102043";"Equações Diferenciais Ordinárias"
"4";"10102051";"10000003";"Ciências Exatas e da Terra";"10100008";"Matemática";"10102000";"Análise";"10102051";"Equações Diferenciais Parciais"
